"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,122,"KGZ","Kyrgyzstan",1,"Batken","Oblast","Province",NA,NA
2,122,"KGZ","Kyrgyzstan",2,"Biškek","Shaar","City",NA,"Bishkek"
3,122,"KGZ","Kyrgyzstan",3,"Chüy","Oblast","Province",NA,NA
4,122,"KGZ","Kyrgyzstan",4,"Jalal-Abad","Oblast","Province",NA,"Djalal-Abad|Dzhalal-Abadskaya Oblast'|Žalal-Abad"
5,122,"KGZ","Kyrgyzstan",5,"Naryn","Oblast","Province",NA,"Tien-Shanskaya Oblast'|Tyan'-Shan'"
6,122,"KGZ","Kyrgyzstan",6,"Osh (city)","Shaar","City",NA,NA
7,122,"KGZ","Kyrgyzstan",7,"Osh","Oblast","Province",NA,NA
8,122,"KGZ","Kyrgyzstan",8,"Talas","Oblast","Province",NA,NA
9,122,"KGZ","Kyrgyzstan",9,"Ysyk-Köl","Oblast","Province",NA,"Issyk-Kul|Issyk-Kul'skaya Oblast'"
